,class,tweet
0,1, Get fucking real dude.
1,1, She is as dirty as they come  and that crook Rengel  the Dems are so fucking corrupt it's a joke. Make Republicans look like  ...
2,1, why did you fuck it up. I could do it all day too. Let's do it when you have an hour. Ping me later to sched writing a book here.
3,1, Dude they dont finish enclosing the fucking showers. I hate half assed jobs. Whats the reasononing behind it? Makes no sense.
4,1, WTF are you talking about Men? No men thats not a menage  that's just gay.
5,1,Ill save you the trouble sister. Here comes a big ol fuck France block coming your way here on the twitter.
6,1, Im dead serious.Real athletes never cheat don't even have the appearance of at his level. Fuck him dude seriously  I think he did
7,1,...go absolutely insane.hate to be the bearer of bad news..LoL..dont shoot the messenger (cause we all know you bought that pistol
8,1,"Lmao  im watching the same thing ahaha. The gay guy is hilarious! ""Dede having a good day and I dont want anyone to mess it up."""
9,1,LOL  no he said  What do you call a jail cell to a gay guy? Paradise! ahaha.
10,1,truth on both counts that guy is an ass  and their product is sub par. I tell people try Dalesandros orJim's
11,1,Shakespeare nerd!
12,1,you are SUCH a fucking dork
13,1,Heh. Fuck 'em WHERE?!?
14,1,damn it i totally forgot that one!
15,1,wow  damn I would have been pissed @ that...
16,1,nigga u geigh lmao! fuck yo finals beeeeeitch
17,1,that sucks :(
18,1,"read that this morning. my fav is how they just straight up say ""cum shots"""
19,1,Unibroue 17 !!!! Another damn good Unibroue
20,1,damn your evil 60 minute IPA beckoning me from the fridge right now...
21,1,It did  then my fucking dad turned it off. I just don't think it likes your movies. I was tryin to watch Nanny Diaries.
22,1,it pretty much is a fuck you card..
23,1,that karma is a bitch  HUH
24,1,don't get too fat or you'll turn into a boomer
25,1,the hormones are worse for guys.  I cant tell you how much I truly hate the thoughts that go through my head.
26,1,except for joe jonas the ass munch who broke up w/our tyler via phone..kinda like doing via text - what kind of a-hole does that?
27,1,man that rly sucks. I for 1 am positive that all will work out. You're a bright dude... pretty cool 2 if I don't say so myself.
28,1,hard to kick ass yourself with slippers on?  On it.
29,1,Thats pretty damn awesome! Very smart :) @Aaronage Sure!
30,1,freak'n awesome. so far loving 4.5. the browser is fantastic. and finally video  pretty cool
31,1,Damn  that sounds good...
32,1,they should have a wii loser..that way you can compete with your wii friends.
33,1,@markmancao haha. i love it! gay nights for all!
34,1,that's awesome! you're pretty damn good!
35,1,Faggoty fag fag. Gay secks man blowjob. Settle down.
36,1,Right. That wouldn't be creepy as fuck.
37,1,HOLY SHIT. Fuck that band.
38,1,Gay fag.
39,1,oh ok it's the dick-in-a-box guys  that explains the timberlake appearance
40,1,*falls off of bed laughing fabulous ass off* Dude I think that made me BLUSH. WTF? LOL?
41,1,and @justlikeanovel: *raises hand rather gaily* One real gay man right here  darlings! HOLLA! #supergay
42,1, oh man. the malls are a mess  it grosses me out. ohhh capitalist dogma  how i hate you
43,1,"where'd ya put it? o btw: ""kick ass quote Copyright&#169; 2009 @abcd91 All Rights Reserved"""
44,1,It sucks to be done with exams n still be @ Mayag.
45,1,Epic WINS for Fuck City&lt;3
46,1,Has it snowed where you are?? I miss the damn snow. I haven't seen any in forever. Everyone has some snow but me :( lol
47,1, aren't you just super special.  I will not know the sweetness of sleep until about 9 tonight. I hate grad school. I want out!
48,1,fuck yes.  I hate them at work...
49,1,Holy ass hell balls!!!  $260 for premium????  Fuck upgrading.  I will fucking cope with Basic
50,1,but seriously...  WHY THE HELL ARE YOU STILL ONLINE????  Were you injured in god damn 'NAM or something???  GO!!!
51,1,damn. Don't want to visit a country that doesn't allow passport smile. Just want to go to Cabo soon.
52,1,I've never been to New York  and Peyton was an ass when the Chargers wanted to draft him  but I do love to win.
53,1,damn.  did you buy bitchy too?
54,1,then by all means  bitch away! haha.
55,1,sucks that ppl will do anything to make a buck. i just love how your fans are calling them out. and i'm glad your iphone is safe.
56,1,Let that pussy freeze. Rotten bitey little bastard.
57,1,Dood! You just justified your MBA. I pity the sorry ass of that downtrodden employee whose manager you'll soon become.
58,1,hehehe. mine pleasure. Btw I too so loves it  when people be presumptous pricksy wicksies! feel jolly nice for me ass to rub on.
